"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1437547089078","3.52236151569645","5.52863999504834","10.3696175630852","11.0570337538253","13.5534029436319","15.6134005249342","22.487145398159","24.0003461504113","26.125886852779","27.9729852504581","29.2867771060076","","","",
"Angola","AGO","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.2907815853443","","","","","","","",
"Albania","ALB","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.5915667921934","67.1568458603395","72.5576400634609","83.6916716478348","86.331840040245","88.3203895855879","97.7974134885971","105.931383915966","113.07328195758","118.11453734007","121.110363500863","118.069781354906","","","",
"Arab World","ARB","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.5231778403252","","78.8598266394972","","","","","","","",
"United Arab Emirates","ARE","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189.853803000859","298.346492467828","280.076002328628","246.520920800012","252.838152554943","","","","","","","",
"Argentina","ARG","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","314.973232365542","","","","","","","",
"Armenia","ARM","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.622129276058","","","","","","","",
"American Samoa","ASM","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220.186231742268","229.015284389877","","","","","",
"Australia","AUS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","624.627826714058","633.593535320639","642.646038782834","652.677444677405","661.84517622139","671.353132443388","678.90501953283","688.768448027534","691.052766910941","697.97374157614","702.81626418323","","","",
"Austria","AUT","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","542.493440108963","562.441955298072","534.060376713214","540.499614414863","547.186809147272","549.852579580835","553.729325048699","557.480446434724","560.833213584959","568.721888999465","577.782516352353","585.314415926141","","","",
"Azerbaijan","AZE","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4109037596601","54.2661998224677","54.8134778112935","60.9074458653648","65.541323060254","71.6240161585348","79.9440158877018","88.615710906273","96.6737795832668","102.006729894337","107.078026297246","111.940021903216","","","",
"Burundi","BDI","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.06567135425793","19.6304325784777","","","","","","6.25130112025757","","","","","","","",
"Belgium","BEL","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","511.306328496525","517.875443417971","526.424095730241","524.224872599455","530.049360256947","533.650003621661","538.187865366927","543.703944210734","547.434246566261","551.207322600033","559.412683264581","562.265038446769","","","",
"Benin","BEN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9372050026545","","","","","","","",
"Burkina Faso","BFA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.18496224015399","6.63036505431406","","8.09265789458165","8.33351704485133","8.96766079539736","9.60744489783413","9.92389214963794","10.2511347217043","11.1675206930423","11.7202229633716","10.0506575820324","","","",
"Bangladesh","BGD","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.09150024567437","","","2.13784929114775","2.19553150831234","2.27059334442684","2.37300802317465","2.4985480887826","2.66303634287725","2.89722219888989","3.13607046226273","","","","",
"Bulgaria","BGR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280.831786650269","299.01517178573","317.356695102528","338.275416156615","358.823574014212","375.860024031318","261.846832454001","308.899595340013","352.858404949501","374.980471662256","392.832555268321","417.167415499145","","","",
"Bahrain","BHR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","336.111489784438","343.175981696783","413.81625056458","417.2265453579","432.871858997261","428.296084336934","410.967328477588","391.218634314646","376.998723819533","363.623460769611","351.855036514283","351.82447007446","","","",
"Bahamas, The","BHS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.2779228914344","","","","","","","",
"Bosnia and Herzegovina","BIH","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107.823292094016","112.977665695763","113.582620052203","117.052941780014","122.207685879513","134.470839105031","208.468175268461","213.997370848868","216.992677417257","","","",
"Belarus","BLR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188.605097451274","188.106567284448","196.107754688292","208.945901806676","216.811202466598","234.869502224982","250.503956684715","268.03179916318","283.938392107473","301.953718312822","320.618018967334","336.756465744748","","","",
"Belize","BLZ","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132.457966373098","143.614457831325","154.762443438914","161.899890390939","","","179.918775258307","180.077046548957","159.444271965228","","","","","","",
"Bermuda","BMU","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","432.018633540373","427.323816492053","422.457496136012","","","",
"Bolivia","BOL","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6969624597701","46.6674035878783","46.8917532193648","48.5952047383418","52.8168077251521","56.1010555224834","61.6797003436249","70.2484504406775","82.9435795687171","86.842494879746","","","","","",
"Brazil","BRA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166.118645332288","","","163.718299454647","171.05186467533","178.265311110729","186.518390516071","197.436090893864","209.958506652991","","","","","","",
"Barbados","BRB","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","266.052610920672","","335.798491888413","375.353113898489","373.747439312161","","","439.282374511262","","","","","","","",
"Brunei Darussalam","BRN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","396.460940079991","","","","479.217178031314","460.805291870799","472.541093171526","493.625385086077","519.736414562186","414.391698588954","277.063070289782","355.22173336815","","","",
"Bhutan","BTN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1872005069106","27.2520102301135","30.642901618929","33.7740579681568","36.7003072563182","39.9183247867716","45.7423616586561","51.4751318896121","60.2763313772488","69.6387621280648","","","",
"Botswana","BWA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.8059928609013","","83.3260052109863","87.7491015650826","94.6668444691112","98.9527492265443","103.299744069272","110.770723305353","122.217777373081","131.216768874875","159.27890400584","167.795156243691","","","",
"Central African Republic","CAF","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.308459146250607","","","","","","","",
"Canada","CAN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","571.047296528728","572.144656536441","582.466806963842","581.631045586564","","","587.660195025343","598.043788118005","604.614033241588","607.521500261735","","","","","",
"Central Europe and the Baltics","CEB","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","278.166291185721","291.245024462781","305.15465474846","320.360946325222","332.196069803281","341.949967268863","349.069369258415","375.638073459927","406.002025483609","414.510686667568","423.670131745475","438.679120489443","","","",
"Switzerland","CHE","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","534.507290252984","543.82744105206","550.239108999303","553.742805049352","558.557301622207","562.967360327224","565.543736756631","569.260812671821","566.729757736829","562.496392289553","566.119938263819","572.601378242096","","","",
"Channel Islands","CHI","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132.009193362828","133.32750157009","134.505588605569","135.117291308227","140.13245179256","147.291703958219","154.400502238279","161.308965762201","169.697908254862","172.970894747896","184.35208121125","197.556215356242","","","",
"China","CHN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4346383979662","13.8318127137634","15.7340284286161","18.1024122943185","20.2836278764732","23.6860836682723","27.5042928406889","32.2490194516214","37.4813638268077","46.6752520168863","57.7233792203812","68.9394307098272","","","",
"Cote d'Ivoire","CIV","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7387862737313","20.3939904153755","21.0140478716035","22.0012555536476","","","","","","","",
"Cameroon","CMR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.07754988768212","","","","","17.7290809304012","18.0326430301985","18.3434657462536","18.6077152786818","18.8409112101427","","","","","",
"Congo, Rep.","COG","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.001095798759","","","","","","","",
"Colombia","COL","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.6720926071982","","","","55.2113882149721","57.2851773901258","59.9114941366067","63.173821747842","67.7128774253939","70.5477481907189","","","","","",
"Comoros","COM","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.40452184920413","","","","","","","30.9975508471829","","","","","","","",
"Cabo Verde","CPV","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.3771337492288","68.6850658619574","73.3209692493942","103.153183181753","","","","","","","",
"Costa Rica","CRI","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141.834516403942","143.903265245147","146.424480621435","156.818104247678","148.604036495377","147.068985961661","147.49076867603","155.036329270396","162.882972691594","165.915452460252","179.847032134499","188.209644404246","","","",
"Caribbean small states","CSS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205.326420610735","227.479147385365","","","","","","","",
"Cuba","CUB","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.9609085192429","","","","","","",
"Curacao","CUW","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","623.48550814778","604.432836874426","629.651794223907","","529.130945040081","","","606.832604839152","629.767610091328","622.276419848287","612.751200426818","589.45160323644","","","",
"Cyprus","CYP","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","408.36048994269","417.079050881868","416.799506875374","426.21732152196","449.552375158249","461.673003654986","469.237945876643","500.199900849179","528.038506928034","539.261403079214","531.641910864615","529.308664796644","","","",
"Czech Republic","CZE","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","365.585794526301","378.002481514417","393.72463278011","417.367974213122","414.222236926802","431.621457492252","449.876786104846","469.832864983705","484.554315977536","482.185197962693","486.117120946878","495.284338317285","","","",
"Germany","DEU","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545.83470236308","574.334973589836","576.32959602427","575.9742969991","536.802079977934","543.278937980189","549.374238033149","553.142175760467","556.370064938542","563.586322421907","572.416964050864","587.594637319328","","","",
"Djibouti","DJI","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","413.168641145149","439.566473988439","470.001592195348","","","","","","","","","","",
"Denmark","DNK","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","421.917606060061","425.25420417285","428.583997822889","430.67658471992","437.810885437993","451.819858612489","467.760119412823","479.640160704928","481.45749406448","478.48027238351","480.081143785613","481.295816659402","","","",
"Dominican Republic","DOM","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.408439083153","106.586906766462","101.294906573339","102.795027144135","110.197601170174","115.599175807075","122.080740213392","128.670118038918","131.859907651968","","","","","",
"Algeria","DZA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.6383452224644","88.7094932073196","90.4394123298426","94.6574135793311","100.519412073252","108.361565175908","111.893024376879","114.090427122791","118.801530608799","","","",
"East Asia & Pacific (developing only)","EAP","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3020998367566","22.8302618635085","24.3448246499045","27.1070269116126","29.2029609311397","33.1266287419319","37.6992056659855","41.246657029989","47.6926834941761","55.0173287508106","64.4825957498862","76.1649639094398","","","",
"East Asia & Pacific (all income levels)","EAS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.5503443524614","73.7197031372019","75.0562869248703","82.3758829985603","82.3357319640615","86.4179521942499","91.2854275023529","92.192675658223","100.303040999763","106.748587506811","115.250886568261","128.12731610908","","","",
"Europe & Central Asia (developing only)","ECA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131.413296993822","135.305366677527","133.520051606851","139.305946192556","152.268311911398","158.380306491677","159.40679862498","163.197178812127","180.807891845866","189.594898493482","196.679701992126","207.383501867545","","","",
"Europe & Central Asia (all income levels)","ECS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","345.442398289069","396.671155195966","403.961694055477","383.807359886008","351.602867456579","382.073127158201","390.035130716785","393.405675207014","408.245647229109","414.050851655761","451.89742435649","458.947098357353","","","",
"Ecuador","ECU","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.417880146523","54.2852684813514","59.6541053962186","63.6097195042592","58.1003761736428","61.5609309128575","57.8005949697249","71.2602557156406","","","","",
"Egypt, Arab Rep.","EGY","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.4556259854657","38.7806512157189","40.7987841169648","42.2274709957837","44.1059312900741","46.9266831487195","","","","","",
"Euro area","EMU","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","535.261389485286","554.56611635156","565.074136587136","541.65856995383","536.103754121554","566.042314940304","571.625453308402","577.685029476775","581.791408011641","583.070821712685","588.18474949628","592.860982092303","","","",
"Eritrea","ERI","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5394156706563","","","","","","","",
"Spain","ESP","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","532.176639839202","547.930225976685","557.885681921707","550.124817513695","566.908772337398","579.707846024656","590.599341411063","605.50656883757","606.140072521306","592.097462187581","592.865255650896","593.408332862476","","","",
"Estonia","EST","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403.106939317934","361.66603499301","357.883301291582","426.759272051343","458.882819853404","477.039916142745","485.468688479078","453.431241018669","476.977641859511","470.740618874839","476.103244311691","494.43552190864","","","",
"Ethiopia","ETH","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.67047137848901","1.7201720956599","1.75518287634206","2.03031724169577","","","","3.0485559436631","","","","","","","",
"European Union","EUU","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","472.622646095646","489.981901391686","499.385731227982","483.36876697295","484.542761967914","513.168371203013","519.608336382087","528.967598406057","537.85252284167","540.099869356525","546.804328809078","552.478927210667","","","",
"Fragile and conflict affected situations","FCS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.7770364705864","","","","","","","",
"Finland","FIN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","469.778171631014","475.181032874275","","497.484180936403","515.182744561579","530.932525824918","545.503191254224","542.57759911661","534.379970335373","532.052188561964","612.008870571986","550.826684324771","","","",
"Fiji","FJI","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155.565485128836","163.667265209658","170.133060240615","173.124282415084","175.145883783697","176.812077111611","178.957569109819","","","","",
"France","FRA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","558.684696974378","567.462806917769","571.994470498986","572.408465977122","574.76753763855","574.585885821649","576.287364148962","578.844130459122","578.121831089902","578.412636098091","580.017978790166","581.611491592851","","","",
"Faeroe Islands","FRO","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","556.315184363965","","","","",
"Micronesia, Fed. Sts.","FSM","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.7721541983069","","","","","","","",
"Gabon","GAB","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","465.814721375284","477.702157205222","488.522625961999","496.23730776848","510.023190069945","517.216412303424","516.819430152985","522.032289395012","521.602271353682","518.305576770307","518.287119371754","515.554606656842","","","",
"Georgia","GEO","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.5196568816061","72.378488053985","73.8042230892816","74.8000646815588","","","116.098226466576","130.343633214839","136.471017633506","145.502629908407","155.042669780812","165.65247436469","","","",
"Ghana","GHA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2628255265062","","19.9122408114282","21.4137696190515","","16.5706199029696","18.5490611963002","34.0458409442629","28.2394699902545","29.7670850248413","","","","","",
"Guinea","GIN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9607160944365","","","9.14849277569392","","","","","","","","29.270066508782","","","",
"Gambia, The","GMB","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.51068468461921","7.99115260209702","7.57963235701917","","","","","","","","","","",
"Guinea-Bissau","GNB","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.53932530247548","","","","","","35.6552023481228","","","","","","",
"Equatorial Guinea","GNQ","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","",
"Greece","GRC","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","391.98818921799","414.305736543075","435.261368260402","453.368590088424","475.462860549205","496.799206409602","519.340159986222","543.349037230575","564.261098109529","572.70685541481","579.99623172022","579.80267972578","","","",
"Grenada","GRD","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9056205500067","52.6287727166997","59.04254275932","63.0089623387773","65.6491912316584","67.8878184748844","69.5990381990871","","","",
"Guam","GUM","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.9430318609645","","","","","","",
"High income","HIC","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","510.896699410425","576.768268114344","582.274305205334","578.321276900367","534.701277130158","541.492834559825","556.373900957425","563.302911793214","570.660400968764","569.276053923332","605.845845466008","609.832235481806","","","",
"Hong Kong SAR, China","HKG","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.8529632408102","70.3778502598931","69.9340163995196","69.5966304154038","69.9852583474607","70.6301003933541","71.6918230738942","72.5562020820399","73.3670120526821","74.3605522795094","76.9711932991879","80.0142824820408","","","",
