"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860","920","920","1020","1080","1230","1260","1500","1610","1700","1940","1960","",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2240","2200","1540","1140","910","1530","1790","2050","2090","2010","2190","2290","2690","2820","3080","3570","4240","5290","5690","6160","6190","6340","6580","7000","",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2840","2040","1910","2220","2500","2960","3330","3050","3500","3920","4370","4850","5060","5490","5980","6530","7410","7950","8920","9330","9390","9870","9930","10400","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6580.70871220527","6929.79635485625","7219.50154973159","7357.16138364647","7488.24219858582","7654.71247253911","7943.2930980895","8259.78772727068","8551.74571789955","8612.36720663019","8966.47602844372","9224.63268282635","9256.85010909007","9831.65438033988","10590.8963362915","11369.4765803389","12356.8419034944","13132.7088153614","13824.4856840007","13852.5027834217","14284.0231771696","14996.1560339432","15846.498202267","16141.5602516837","",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90030","87440","92030","95910","92560","89640","80800","71000","60060","55750","56390","59890","","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2330","2220","1130","1180","1420","1580","1780","1950","2080","2190","2380","2690","3120","3630","4120","4910","5790","6830","7510","6410","6690","7050","7740","8180","",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9810","10690","10950","11800","12460","11850","12190","13220","13640","14030","14440","14430","14580","15670","16710","18260","21130","23500","23590","20760","19590","19290","20060","20490","",
