"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","7.9","7.4","6.9","6.5","6","5.7","5.4","5.1","4.8","4.6","4.4","4.3","4.1","4","3.9","3.7","3.6","3.5","3.4","3.3","3.2","3.1","3","",
"Afghanistan","AFG","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","359.5","353.9","348.6","343.9","338.7","333.5","328.6","323.7","318.7","313.7","309","304.1","299","294","288.8","283.6","278","272.7","267","260.9","255","248.7","242.1","235.1","227.5","219.6","211.3","203.3","195","186.9","179.1","171.5","164.6","158.4","153.3","149.1","145.7","143","140.6","138.2","135.6","132.7","129.4","125.9","122.4","119","115.8","112.9","110.2","107.7","105.2","102.6","100","97.3","",
"Angola","AGO","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","232","231.1","230.2","229.1","228.3","227.6","227","226.6","226.2","226","225.9","225.8","225.9","225.5","225.2","224.7","223.8","222.4","220.8","218.9","216.7","214.5","212.1","209.8","207.1","204.5","200.9","196.8","192.3","187.7","182.4","177.5","172.6","167.4","",
"Albania","ALB","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","89.5","83.1","77.3","72","66.9","62.2","57.9","53.9","50.5","47.4","44.7","42.5","40.5","38.8","37.3","35.9","34.5","33.1","31.7","30.3","28.8","27.5","26.1","24.8","23.6","22.5","21.4","20.4","19.5","18.7","17.9","17.2","16.5","15.9","15.4","14.9","",
"Arab World","ARB","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","260.569685153511","254.729217128283","247.269486271251","240.122991685739","233.274115129381","226.857877824837","220.858600276298","215.189664347381","209.834711029818","204.556381031731","199.580491074116","194.462072203016","187.682059657021","181.725583526649","175.353935886136","167.909224866558","160.789633337667","153.49299721244","146.118152142768","138.757176188427","131.352837299388","123.894710283772","119.162324266055","111.934981481679","105.099084021316","98.9002317384459","93.4696105173158","88.93066545642","85.1709258730393","82.0608156958296","79.3950507707041","77.0166652859699","74.892422853193","72.9210689578746","71.0060629864016","69.1633376174409","67.3585505878086","65.5974193655009","63.8304513603836","62.0979095684681","60.3170390046195","58.5106770144506","56.6742249185542","54.8746058146129","53.0557192461753","51.2860314121106","49.5513448294428","47.8320729079264","46.1938331187448","44.6322815256474","43.2112629277157","41.92477873808","40.7547345337987","39.628376254929","",
"United Arab Emirates","ARE","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","204.2","193.7","182.9","172.2","161.4","150.4","139.4","128.5","117.9","107.4","97.5","88.3","79.8","72","65","58.7","52.9","47.7","43","38.8","35","31.7","28.9","26.5","24.4","22.6","21","19.7","18.5","17.5","16.5","15.7","14.9","14.2","13.6","13.1","12.7","12.2","11.8","11.5","11.2","10.9","10.6","10.3","10","9.8","9.6","9.4","9.2","9","8.8","8.7","8.5","8.2","",
"Argentina","ARG","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","73.3","72.5","71.5","70.3","68.6","66.4","63.6","60","55.8","51.3","47","43.2","40","37.7","35.8","34.4","33.1","31.9","30.8","29.7","28.6","27.6","26.6","25.7","24.9","24.1","23.4","22.7","22","21.4","20.8","20.2","19.7","19.2","18.6","17.9","17.1","16.4","15.8","15.4","15","14.6","14.2","13.7","13.3","",
"Armenia","ARM","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","87.8","84.2","80.9","77.7","74.7","71.8","69","66.3","63.8","61.3","58.9","56.6","81.6","52","49.7","47.4","45.1","42.8","40.7","38.6","36.7","34.9","33.3","31.7","30.1","28.6","27.2","25.9","24.6","23.4","22.2","21.1","20.1","19.1","18.1","17.2","16.4","15.6","",
"American Samoa","ASM","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
