"","Country"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","American Samoa"
"5","Andorra"
"6","Angola"
"7","Antigua and Barbuda"
"8","Argentina"
"9","Armenia"
"10","Aruba"
"11","Australia"
"12","Austria"
"13","Azerbaijan"
"14","Bahamas, The"
"15","Bahrain"
"16","Bangladesh"
"17","Barbados"
"18","Belarus"
"19","Belgium"
"20","Belize"
"21","Benin"
"22","Bermuda"
"23","Bhutan"
"24","Bolivia"
"25","Bosnia and Herzegovina"
"26","Botswana"
"27","Brazil"
"28","Brunei Darussalam"
"29","Bulgaria"
"30","Burkina Faso"
"31","Burundi"
"32","Cabo Verde"
"33","Cambodia"
"34","Cameroon"
"35","Canada"
"36","Cayman Islands"
"37","Central African Republic"
"38","Chad"
"39","Channel Islands"
"40","Chile"
"41","China"
"42","Colombia"
"43","Comoros"
"44","Congo, Dem. Rep."
"45","Congo, Rep."
"46","Costa Rica"
"47","Cote d'Ivoire"
"48","Croatia"
"49","Cuba"
"50","Curacao"
"51","Cyprus"
"52","Czech Republic"
"53","Denmark"
"54","Djibouti"
"55","Dominica"
"56","Dominican Republic"
"57","Ecuador"
"58","Egypt, Arab Rep."
"59","El Salvador"
"60","Equatorial Guinea"
"61","Eritrea"
"62","Estonia"
"63","Ethiopia"
"64","European Union"
"65","Faeroe Islands"
"66","Fiji"
"67","Finland"
"68","France"
"69","French Polynesia"
"70","Gabon"
"71","Gambia, The"
"72","Georgia"
"73","Germany"
"74","Ghana"
"75","Greece"
"76","Greenland"
"77","Grenada"
"78","Guam"
"79","Guatemala"
"80","Guinea"
"81","Guinea-Bissau"
"82","Guyana"
"83","Haiti"
"84","Honduras"
"85","Hong Kong SAR, China"
"86","Hungary"
"87","Iceland"
"88","India"
"89","Indonesia"
"90","Iran, Islamic Rep."
"91","Iraq"
"92","Ireland"
"93","Isle of Man"
"94","Israel"
"95","Italy"
"96","Jamaica"
"97","Japan"
"98","Jordan"
"99","Kazakhstan"
"100","Kenya"
"101","Kiribati"
"102","Korea, Dem. Rep."
"103","Korea, Rep."
"104","Kosovo"
"105","Kuwait"
"106","Kyrgyz Republic"
"107","Lao PDR"
"108","Latvia"
"109","Lebanon"
"110","Lesotho"
"111","Liberia"
"112","Libya"
"113","Liechtenstein"
"114","Lithuania"
"115","Luxembourg"
"116","Macao SAR, China"
"117","Macedonia, FYR"
"118","Madagascar"
"119","Malawi"
"120","Malaysia"
"121","Maldives"
"122","Mali"
"123","Malta"
"124","Marshall Islands"
"125","Mauritania"
"126","Mauritius"
"127","Mexico"
"128","Micronesia, Fed. Sts."
"129","Moldova"
"130","Monaco"
"131","Mongolia"
"132","Montenegro"
"133","Morocco"
"134","Mozambique"
"135","Myanmar"
"136","Namibia"
"137","Nepal"
"138","Netherlands"
"139","New Caledonia"
"140","New Zealand"
"141","Nicaragua"
"142","Niger"
"143","Nigeria"
"144","Northern Mariana Islands"
"145","Norway"
"146","Oman"
"147","Pakistan"
"148","Palau"
"149","Panama"
"150","Papua New Guinea"
"151","Paraguay"
"152","Peru"
"153","Philippines"
"154","Poland"
"155","Portugal"
"156","Puerto Rico"
"157","Qatar"
"158","Romania"
"159","Russian Federation"
"160","Rwanda"
"161","Samoa"
"162","San Marino"
"163","Sao Tome and Principe"
"164","Saudi Arabia"
"165","Senegal"
"166","Serbia"
"167","Seychelles"
"168","Sierra Leone"
"169","Singapore"
"170","Sint Maarten (Dutch part)"
"171","Slovak Republic"
"172","Slovenia"
"173","Solomon Islands"
"174","Somalia"
"175","South Africa"
"176","South Sudan"
"177","Spain"
"178","Sri Lanka"
"179","St. Kitts and Nevis"
"180","St. Lucia"
"181","St. Martin (French part)"
"182","St. Vincent and the Grenadines"
"183","Sudan"
"184","Suriname"
"185","Swaziland"
"186","Sweden"
"187","Switzerland"
"188","Syrian Arab Republic"
"189","Tajikistan"
"190","Tanzania"
"191","Thailand"
"192","Timor-Leste"
"193","Togo"
"194","Tonga"
"195","Trinidad and Tobago"
"196","Tunisia"
"197","Turkey"
"198","Turkmenistan"
"199","Turks and Caicos Islands"
"200","Tuvalu"
"201","Uganda"
"202","Ukraine"
"203","United Arab Emirates"
"204","United Kingdom"
"205","United States"
"206","Uruguay"
"207","Uzbekistan"
"208","Vanuatu"
"209","Venezuela, RB"
"210","Vietnam"
"211","Virgin Islands (U.S.)"
"212","West Bank and Gaza"
"213","World"
"214","Yemen, Rep."
